Title,Date,Age,Interests,Tags,Gender,Country,Entities,Emotions,Names,"Potential Visitors"
"Who's America's Favorite Couple? A Baltimore pair is in the running.","Aug 06, 2025 11:25 PM",25-34,"Arts & Entertainment, People & Society, Lifestyle & Hobbies, News, Health & Fitness","Love, Contest, Marriage, Transgender",Female,us,"America's Favorite Couple, Contest, Love",Happiness,"Devon Ojeda, Caius Willingham",5
"Kathy Hochul &#8216;willing&#8217; to consider &#8216;Raise the Age&#8217; reforms as she takes victory lap on discovery tweaks","Aug 06, 2025 10:57 PM",25-34,"News, Politics, Business & Industrial, People & Society, Law & Government","Kathy Hochul, Raise the Age, Criminal Justice, New York",Female,us,"Kathy Hochul, Raise the Age, New York, criminal justice",Anticipation,"Kathy Hochul, Andrew Cuomo, Alvin Bragg, Darcel Clark, Eric Gonzalez, Melinda Katz, Michael McMahon, Kathy Sheehan, Brendan Cox, Lee Kindlon",5
"Here’s What the Trump Administration Should Be Renaming Next","Aug 06, 2025 10:11 PM",35-44,"Business & Industrial, Law & Government, News, Politics, People & Society","Politics, Government, Administration, Trump",Male,us,"Trump Administration, Government Policy, Renaming",Anticipation,"Donald Trump, Mike Pence",5
"Philadelphia International Airport gears up for a busy travel year ahead in 2026","Aug 06, 2025 09:56 PM",25-34,"Travel, Business & Industrial, News, People & Society, Health & Fitness","Travel, Airport, Philadelphia, 2026",Female,us,"Philadelphia International Airport, Travel, Leah Douglas",Anticipation,"Leah Douglas, Austin Brito-Quinones, Nikki DeMentri",5
"How to choose the right storm shutters this hurricane season","Aug 06, 2025 09:40 PM",35-44,"Home & Garden, Business & Industrial, Health & Fitness, News, Lifestyle & Hobbies","Hurricane Preparedness, Home Safety, Storm Shutters, South Florida",Male,us,"storm shutters, hurricane season, Miami-Dade, Broward County",Anticipation,"Mauricio Maldonado",5
"Trump Rants About Countries Laughing at America in All-Caps Late-Night Meltdown","Aug 07, 2025 02:14 PM",35-44,"News, Politics, People & Society, Arts & Entertainment, Business & Industrial","Politics, Trump, Meltdown, News",Male,us,"Donald Trump, America, Late-night TV",Anger,"Donald Trump",6
"Trump, 79, Fails to Find People Standing Feet Away From Him: ‘Right Behind You’","Aug 07, 2025 02:14 PM",45-54,"News, People & Society, Politics, Arts & Entertainment, Sports","Politics, News, Trump, Public Speaking",Male,us,"Donald Trump, Politics, Public Speaking",Surprise,"Donald Trump",6
"Nearly a dozen rescued after boat starts to sink in Brooklyn","Aug 07, 2025 01:51 PM",25-34,"News, People & Society, Health & Fitness, Arts & Entertainment, Sports","Rescue, Brooklyn, Boat Incident, Emergency",Female,us,"Brooklyn, NYPD, FDNY, Sheepshead Bay",Anticipation,"Renee Anderson",6
"Pembroke Pines honors plane crash heroes, demands safety study for North Perry Airport","Aug 07, 2025 05:41 AM",25-34,"News, People & Society, Health & Fitness, Business & Industrial, Travel","Safety, Aviation, Community, Heroism",Female,us,"North Perry Airport, Pembroke Pines, Broward County",Anticipation,"Eddy Crispin, Megan Bishop, Thomas Good Jr., Angelo Castillo, Anna McAllister",6
"Toms River bans sleeping in municipal lot to address homelessness concerns","Aug 07, 2025 01:49 AM",25-34,"News, People & Society, Law & Government, Health & Fitness, Business & Industrial","Homelessness, Local Government, Community Issues, Public Safety",Female,us,"Toms River, New Jersey, Monarch Housing Associates",Empathy,"Daniel Rodrick, Taiisa Kelly, Carol Allan, Alex van Haak, Christine Sloan",6
"Housing advocates cheer repeal of Denver parking minimum requirements","Aug 07, 2025 01:16 AM",25-34,"Business & Industrial, Home & Garden, News, People & Society, Real Estate","Housing, Urban Development, City Council, Affordable Housing",Female,us,"Denver, City Council, Affordable Housing, Southwest Energy Efficiency Project",Happiness,"Caroline Leland, Chris Hinds, Andrew Haubner",6
"Controlling the back-to-school chaos: How parents can own the morning as school approaches","Aug 07, 2025 02:03 PM",25-34,"Health & Fitness, Hobbies & Leisure, Parenting, Education, Lifestyle & Hobbies","Back-to-School, Parenting, Morning Routine, Family",Female,us,"Parenting, Morning Routine, Meal Prep",Empathy,"Ashley Rusnic",7
"Trump Twists the Knife as Howard Stern Cancellation Rumors Swirl","Aug 07, 2025 10:13 AM",35-44,"Arts & Entertainment, News, People & Society, Sports, Business & Industrial","Politics, Celebrity, Media, Controversy",Male,us,"Howard Stern, Donald Trump, Media",Anticipation,"Howard Stern, Donald Trump",7
"U.S. Department of Health and Human Services slashes funding for MRNA vaccine","Aug 07, 2025 01:36 PM",25-34,"Health & Fitness, News, Business & Industrial, Science, Politics","Health, Vaccine, Funding, Government",Male,us,"U.S. Department of Health and Human Services, MRNA vaccine, funding",Anger,"Xavier Becerra, Anthony Fauci",8
"Colorado veteran says dog saved his life while he was sleeping","Aug 07, 2025 01:18 PM",35-44,"Health & Fitness, People & Society, Pets & Animals, News, Hobbies & Leisure","Service Dog, PTSD, Veteran, Health",Male,us,"Service Dog, PTSD, Hank Ford",Happiness,"Hank Ford, Tommy",8
"Mamdani&#8217;s vow to declare war on charter schools if elected NYC mayor sparks outrage","Aug 07, 2025 02:57 AM",25-34,"Education, Politics, News, People & Society, Business & Industrial","Charter Schools, Education Policy, NYC Mayor, Zohran Mamdani",Male,us,"Charter Schools, Education, NYC Mayor, Zohran Mamdani",Anger,"Zohran Mamdani, Arlene Rosado, Raymond Rivera, James Merriman, Arthur Samuels",8
"Penn doctor calls RFK Jr.'s cuts to mRNA vaccine research bad for science","Aug 07, 2025 01:56 AM",35-44,"Health & Fitness, News, Science, Business & Industrial, People & Society","Health, Vaccine Research, mRNA, Science",Male,us,"mRNA technology, COVID-19 vaccines, American Medical Association, University of Pennsylvania",Anticipation,"Robert F. Kennedy Jr., Dr. Bobby Mukkamala, Dr. Scott Hensley, Dr. Drew Weissman, Stephanie Stahl",8
"Wildfires fueling poor air quality in Michigan expected to stop once snow falls","Aug 07, 2025 01:33 AM",25-34,"News, Health & Fitness, Environment, Science, Weather","Wildfires, Air Quality, Michigan, Weather",Male,us,"Wildfires, Michigan, Air Quality",Concern,"Governor Whitmer, Environmental Protection Agency",8
"Chris Cuomo Gives AOC Bizarre Non-Apology After Falling for Sydney Sweeney Deepfake","Aug 07, 2025 10:13 AM",25-34,"Arts & Entertainment, News, People & Society, Politics, Technology","Politics, Media, Celebrity, Controversy",Male,us,"Chris Cuomo, Alexandria Ocasio-Cortez, Sydney Sweeney",Surprise,"Chris Cuomo, Alexandria Ocasio-Cortez, Sydney Sweeney",9
"United ground stop lifted; residual delays for flights at multiple airports","Aug 07, 2025 04:42 AM",25-34,"News, Business & Industrial, Travel, Health & Fitness, People & Society","United Airlines, Flight Delays, Technology Issue, Chicago",Male,us,"United Airlines, Chicago O'Hare International Airport, Federal Aviation Administration",Anticipation,"Sean Duffy, Scott Kirby, Kris Van Cleave, Sara Tenenbaum",9
"Sacramento family faces $800 in damages after 12-year-old kicks in door in possible TikTok challenge","Aug 07, 2025 06:06 AM",25-34,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, People & Society","Vandalism, TikTok Challenge, Sacramento, Family",Female,us,"Sacramento, TikTok, Vandalism",Fear,"Jennifer Farias",10
"Richmond elementary school being rebuilt after lead paint, asbestos detected","Aug 07, 2025 04:42 AM",25-34,"Education, News, People & Society, Health & Fitness, Business & Industrial","School Rebuild, Community Advocacy, Education Reform, Asbestos",Female,us,"Stege Elementary, Richmond, Education, Community",Anticipation,"Lakisha Mitchell-Keith, Don Gosney, Guadalupe Enllana",10
"Trump Says He’s Calling Musk’s ‘Big Balls’ After Bloody Attack","Aug 07, 2025 06:12 AM",25-34,"News, Politics, People & Society, Business & Industrial, Sports","Politics, News, Trump, Attack",Male,us,"Donald Trump, Politics, Attack",Anger,"Donald Trump",11
"ICE Barbie Now Begging Teenagers to Become Agents","Aug 07, 2025 02:12 AM",18-24,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, Sports","NSFW, Celebrity, Interview, Bob Sinclair",Female,us,"ICE, Teenagers, Agents",Anticipation,Barbie,12
"Building catches fire on Chicago's North Side","Aug 07, 2025 12:59 PM",25-34,"News, People & Society, Health & Fitness, Arts & Entertainment, Business & Industrial","Breaking News, Fire, Chicago, West Ridge",Female,us,"Chicago, Fire, West Ridge",Anticipation,Elyssa,13
"Trump Blasts Musk’s ‘Really Bad Moment’ After Humiliating Unpopularity Poll","Aug 07, 2025 10:13 AM",35-44,"News, Business & Industrial, People & Society, Technology, Politics","Politics, Technology, Business, Poll",Male,us,"Donald Trump, Elon Musk, popularity poll",Anger,"Donald Trump, Elon Musk",13
"Billionaire Apple CEO Tim Cook Sucks Up to Trump With Tacky Gold Gift","Aug 07, 2025 06:12 AM",25-34,"Arts & Entertainment, Business & Industrial, News, People & Society, Technology","Business, Politics, Technology, Celebrity",Male,us,"Apple, Tim Cook, Donald Trump",Anger,"Tim Cook, Donald Trump",13
"This car tops the chart of most-stolen vehicles","Aug 07, 2025 05:39 AM",25-34,"Autos & Vehicles, Business & Industrial, News, Technology, Lifestyle & Hobbies","Vehicle Theft, Chevrolet Camaro, Auto Security, HLDI",Male,us,"Chevrolet Camaro ZL1, Highway Loss Data Institute, General Motors",Surprise,"Matt Moore, Megan Cerullo",14
"Riverdale Animal Shelter sees increase in donations following animal rescue","Aug 06, 2025 09:15 PM",25-34,"Pets & Animals, Hobbies & Leisure, People & Society, Health & Fitness, News","Animal Rescue, Community Support, Adoption, Donations",Female,us,"Riverdale Animal Shelter, Northglenn Police Department, animal abuse",Happiness,"Tabitha Gormley, Chyann Warme, Gabriela Vidal",16
"Republican Posts Pictures of Naked Man in a Ski Mask in Unhinged Feud Against Rival Congressman","Aug 07, 2025 02:14 PM",25-34,"Arts & Entertainment, Business & Industrial, News, Politics, People & Society","Politics, Controversy, Social Media",Male,us,"Politics, Social Media, Congressman",Anger,"Congressman, Republican",17
"5 soldiers wounded in mass at Fort Stewart","Aug 07, 2025 01:33 AM",25-34,"News, Health & Fitness, People & Society, Sports, Law & Government","Military, Injury, Fort Stewart",Male,us,"Fort Stewart, Military, Soldiers",Fear,"John Doe, Jane Smith",17
"Pedestrian hit, seriously injured by e-bike near Copley Square","Aug 06, 2025 08:52 PM",25-34,"News, Health & Fitness, People & Society, Business & Industrial, Sports","Accident, E-bike, Boston, Injury",Male,us,"Copley Square, Boston, e-bike",Fear,"Victoria D.",17
"2 teens injured in electric scooter accident in Delco, police say","Aug 07, 2025 01:56 AM",0-17,"News, Health & Fitness, People & Society, Sports, Law & Government","Accident, Electric Scooter, Safety, Injury",Male,us,"Electric Scooter, Pickup Truck, Springfield Township Police Department",Fear,"Tim Kearney, Tom Ignudo",18
"Mom honors slain son's legacy, announces foundation in his name during Miami memorial","Aug 06, 2025 09:40 PM",25-34,"Arts & Entertainment, People & Society, Health & Fitness, News, Hobbies & Leisure","Memorial, Foundation, Scholarship, Community",Female,us,"Dominic Paul Maron Ferrell Foundation, Miami, Sts. Peter and Paul Catholic School",Empathy,"Christine Maron, Dominic Ferrell, Kyrill Kehl",18
"NY POSTcast Daily Debrief: Trump plans Putin, Zelensky meeting, mysterious Montauk designer death and Elon&#8217;s &#8216;spicy&#8217; chatbot","Aug 07, 2025 02:59 PM",25-34,"News, Business & Industrial, Arts & Entertainment, Politics, Health & Fitness","Podcast, News, Politics, Technology",Male,us,"Trump, Putin, Zelensky, Martha Nolan, Elon Musk",Anticipation,"Martha Nolan, Caitlyn Becker, Elon Musk",19
"Two teens recovering after hit by vehicle in Lincoln Park, Michigan","Aug 07, 2025 05:34 AM",0-17,"News, Health & Fitness, People & Society, Sports, Autos & Vehicles","Accident, Recovery, Teenagers",Male,us,"Lincoln Park, Michigan, Vehicle, Teens",Empathy,N/A,19
"A little more sunshine expected across Maryland Thursday","Aug 07, 2025 03:25 AM",25-34,"News, Health & Fitness, Lifestyle & Hobbies, Travel, Sports","Weather, Maryland, Forecast, Meteorology",Male,us,"Maryland, Weather, Ravens Pre-Season Game",Anticipation,"Derek Beasley",19
"Deranged MAGA Civil War Erupts Over Engagement Ring Size","Aug 07, 2025 02:12 AM",25-34,"Arts & Entertainment, Business & Industrial, News, People & Society, Lifestyle & Hobbies","Politics, Engagement, Controversy, MAGA",Male,us,"MAGA, Engagement Ring, Civil War",Anticipation,"Donald Trump, Marjorie Taylor Greene",21
"Ukrainian artist's Dallas exhibit blends beauty, resilience","Aug 07, 2025 07:32 AM",25-34,"Arts & Entertainment, People & Society, News, Hobbies & Leisure, Health & Fitness","Art, Culture, Resilience, Ukraine",Female,us,"Petrykivka, Dallas City Hall, Uniting for Ukraine",Empathy,"Hanna Chekodanova, Chrystya Geremesz, Erin Jones",22
"Two kids struck by vehicle while crossing street in Lincoln Park","Aug 07, 2025 01:33 AM",0-17,"News, People & Society, Health & Fitness, Law & Government, Sports","Accident, Safety, Community, Children",Male,us,"Lincoln Park, Accident, Children",Fear,N/A,27
"Former site of Springdale power plant could become high-tech AI data center","Aug 07, 2025 06:02 AM",25-34,"Business & Industrial, Computers & Electronics, Health & Fitness, News, Technology","Data Center, Technology, AI, Economic Development",Male,us,"Springdale, Cheswick Generating Station, AI data center",Anticipation,"Brian Regli",30
"Israeli military chief opposes Netanyahu&#8217;s plan to occupy Gaza","Aug 06, 2025 10:08 PM",25-34,"News, Politics, People & Society, Law & Government, Business & Industrial","Israel, Gaza, Netanyahu, Military",Male,us,"Israel Defense Forces, Hamas, Gaza Strip",Anticipation,"Benjamin Netanyahu, Eyal Zamir, Yair Lapid",30
"Cuomo is the butt of more jokes after resharing tweet from &#8216;Andrew Cuomo is a sex pest&#8217; X account","Aug 07, 2025 02:59 PM",25-34,"Arts & Entertainment, News, People & Society, Politics, Humor","Politics, Social Media, Mockery, Andrew Cuomo",Male,us,"Andrew Cuomo, X account, Statue of Liberty",Happiness,"Andrew Cuomo, Rich Azzopardi",33
"JD Vance’s Team Had Water Level Raised in Ohio River for Family Boat Trip","Aug 07, 2025 06:12 AM",25-34,"Arts & Entertainment, Hobbies & Leisure, People & Society, Travel, Sports","Family, Travel, Adventure, Ohio",Male,us,"Family, Boat Trip, Ohio",Surprise,Vance,33
"NYC influencer dead at 20, cause of death revealed","Aug 07, 2025 10:58 AM",18-24,"Arts & Entertainment, People & Society, Health & Fitness, News, Lifestyle & Hobbies","Tribute, Influencer, Mental Health, Music",Female,us,"Chase Filandro, TikTok, National Parks",Sadness,"Chase Filandro, Francesca Ford",35
"Student loan borrowers in Maryland eligible for up to $5,000 in relief","Aug 07, 2025 03:25 AM",25-34,"Business & Industrial, Education, Finance, News, People & Society","Student Loans, Tax Credit, Maryland, Financial Relief",Female,us,"Maryland Higher Education Commission, Student Loan Debt Relief Tax Credit, Maryland General Assembly",Happiness,"Kristin Clarkson",38
"Court hearing in Ashley Elkins case; two kids struck by vehicle in Lincoln Park; other top stories","Aug 07, 2025 01:36 PM",25-34,"News, Health & Fitness, People & Society, Sports, Business & Industrial","Court Hearing, Accident, Lincoln Park, Top Stories",Male,us,"Court Hearing, Vehicle Accident, Lincoln Park",Anticipation,"Ashley Elkins",46
"AMBER Alert issued for missing 3-week-old Dior Gooch","Aug 06, 2025 09:47 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Hobbies & Leisure","AMBER Alert, Missing Person, Columbia Heights, Police",Female,us,"AMBER Alert, Columbia Heights, Dior Gooch",Fear,"Aki Nace",46
"Man injured after being caught in crossfire on Chicago's South Side","Aug 07, 2025 12:59 PM",25-34,"News, People & Society, Health & Fitness, Law & Government, Sports","Crime, Shooting, Chicago, News",Male,us,"Chicago, Police, Hospital",Fear,Elyssa,47
"Robinson Township officer charged in alleged road rage incident","Aug 06, 2025 10:01 PM",25-34,"News, Law & Government, People & Society, Health & Fitness, Sports","Road Rage, Police Incident, Assault, Legal",Male,us,"Robinson Township, Police Officer, Road Rage Incident",Anger,"Steve Pies, Al Cannella, Blaine Jones, Jennifer Borrasso",47
"Judge blocks all radioactive waste dumping at Wayne County facility","Aug 07, 2025 05:34 AM",35-44,"News, Law & Government, Science, Business & Industrial, Health & Fitness","Legal, Environment, Waste Management, Government",Male,us,"Wayne County, Radioactive Waste, Legal Ruling",Trust,"Judge, Wayne County Officials",49
"Amber Alert issued for 3-year-old boy last seen in LA County","Aug 07, 2025 01:38 AM",25-34,"News, People & Society, Law & Government, Health & Fitness, Arts & Entertainment","Amber Alert, Child Safety, Los Angeles, Breaking News",Male,us,"Amber Alert, Los Angeles County, California Highway Patrol",Concern,"Tyshawn Tucker, Ervin Tucker Jr., Matthew Rodriguez",50
"Florida utility company seeks record $10 billion rate hike","Aug 07, 2025 01:41 AM",25-34,"Business & Industrial, Finance, News, People & Society, Law & Government","Utility Rates, Florida, Energy, Regulation",Male,us,"Florida Power & Light, Florida Public Service Commission, NextEra Energy",Anticipation,"Brooke Ward, Mark Wolfe, Ina Laney, Daniel Lawton",51
"Another Alligator Alcatraz? Florida plans on building a second immigration detention center","Aug 06, 2025 09:40 PM",25-34,"News, Law & Government, People & Society, Business & Industrial, Health & Fitness","Immigration, Detention Centers, Florida, Ron DeSantis",Male,us,"Florida, Immigration Detention Center, Alligator Alcatraz, Camp Blanding",Anger,"Ron DeSantis, Donald Trump, Kristi Noem, Kevin Guthrie, Kate Payne",54
"""Technology disruption"" leads to pause on departing United flights to Denver","Aug 07, 2025 05:17 AM",25-34,"Business & Industrial, Computers & Electronics, News, Travel, Transportation","Technology, Airlines, Flight Delays, United Airlines",Male,us,"United Airlines, Denver International Airport, FAA",Anticipation,"Jesse Sarles",55
"Northern California's Plumas Lake community breaks ground on 1st grocery store","Aug 07, 2025 02:05 AM",25-34,"Business & Industrial, Food & Drink, Health & Fitness, People & Society, News","Community Development, Grocery Store, Food Desert, Plumas Lake",Female,us,"Plumas Lake, Holiday Market, North State Grocery",Happiness,"Gary Bradford, Brad Askeland",58
"When their L.A. home burned down, they packed an RV and headed across America","Aug 07, 2025 01:38 AM",35-44,"Arts & Entertainment, Hobbies & Leisure, People & Society, Travel, Health & Fitness","Human Interest, Adventure, Community, Healing",Female,us,"Palisades Fire, Los Angeles, RV, CBS News",Happiness,"David Israel, Jacquie Israel, Orly Israel, Maurice DuBois",63
"FBI will help track down Texas Democrats who left state, Sen. John Cornyn says","Aug 07, 2025 03:34 PM",25-34,"News, Politics, Business & Industrial, People & Society, Law & Government","Politics, Law, Texas, Congressional Redistricting",Male,us,"Texas Democrats, FBI, John Cornyn, Greg Abbott",Anger,"Kash Patel, Greg Abbott, Beto O'Rourke, Gene Wu",65
"Vance Boelter expected to reveal plea in federal hearing","Aug 07, 2025 01:50 PM",25-34,"News, Law & Government, People & Society, Crime, Politics","Crime, Politics, Law, Shooting",Male,us,"Minnesota, Shooting, Lawmaker, Crime",Fear,"Melissa Hortman, John Hoffman, Vance Boelter, Manny Atwal",66
"France strips residency from &#8216;indecent and pathetic&#8217; man who lit cigarette at war memorial","Aug 07, 2025 10:10 AM",25-34,"News, People & Society, Law & Government, Arts & Entertainment, Travel","Incident, War Memorial, Residency, Outrage",Male,fr,"Arc de Triomphe, Tomb of the Unknown Soldier, France",Anger,"Bruno Retailleau, Patricia Miralles",67
"Minnesota man gets 28 years for $48 million food fraud COVID-era scandal","Aug 07, 2025 02:57 AM",35-44,"Business & Industrial, Finance, Law & Government, News, People & Society","Fraud, Legal, COVID-19, Sentencing",Male,us,"Feeding Our Future, Fraud Scheme, Federal Programs",Anger,"Abdiaziz Shafii Farah, Joseph Thompson",67
"NYC designer was an Irish immigrant with an inspiring rags-to-riches story before her untimely death on a Montauk boat","Aug 07, 2025 02:57 AM",25-34,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, People & Society","Entrepreneurship, Fashion, Tragedy, Immigrant Story",Female,us,"Martha Nolan, East x East, Montauk Yacht Club, Gurney's",Sadness,"Martha Nolan-O'Slatarra, Dylan Grace",71
"Five best friends headed on birthday trip killed when SUV slams head-on into their car","Aug 07, 2025 02:59 PM",18-24,"Arts & Entertainment, Health & Fitness, News, People & Society, Sports","Accident, Tragedy, Friendship, Manslaughter",Female,us,"car accident, birthday trip, Texas, friendship, manslaughter",Sadness,"Thalia Salinas, Ruby Cruz, Brianna Valadez, Desiree Cervantez, Jacqueline Velazco, Kody Talley",72
"Fire at New Kensington home being investigated as suspicious","Aug 07, 2025 06:02 AM",25-34,"News, Health & Fitness, People & Society, Home & Garden, Business & Industrial","Fire Investigation, New Kensington, Emergency Services, Community",Male,us,"New Kensington, Westmoreland County, Pennsylvania State Police",Anticipation,"Ed Saliba, Jessica Guay",74
"Out-of-control driver accused of killing 4 Pepperdine University seniors appears in court after hiring Karen Read&#8217;s high-power attorney","Aug 07, 2025 02:57 AM",25-34,"News, Law & Government, People & Society, Health & Fitness, Sports","Court, Trial, Accident, Murder",Male,us,"Pepperdine University, Malibu, Court, Murder",Anticipation,"Fraser Bohm, Alan Jackson, Niamh Rolston, Peyton Stewart, Asha Weir, Deslyn Williams",80
"Fort Stewart shooting suspect sent cryptic text to aunt before horrific attack on fellow soldiers","Aug 07, 2025 02:59 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Sports","Shooting, Military, Crime, Fort Stewart",Male,us,"Fort Stewart, US Army, Shooting",Fear,"Quornelius Radford, Eddie Radford, John Lubas",82
"Boy, 11, hurt in south Sacramento shooting at Florin Road apartment complex","Aug 07, 2025 02:08 PM",0-17,"News, People & Society, Health & Fitness, Law & Government, Sports","Shooting, Crime, Sacramento, Arrest",Male,us,"Sacramento County Sheriff's Office, Florin Road, Hospital",Fear,"Roberto Rangel, Cecilio Padilla",84
"Central Texas man charged in fiery crash that killed 5 Dallas-area women","Aug 07, 2025 03:31 AM",25-34,"News, People & Society, Health & Fitness, Law & Government, Sports","Accident, Manslaughter, Tragedy, Central Texas",Female,us,"Central Texas, Burnet County, U.S. 281, Chevrolet Malibu, Mercedes SUV",Sadness,"Kody Lane Talley, Thalia Salinas, Ruby Cruz, Brianna Valadez, Desiree Cervantez, Jacqueline Velazco Ventura",86
"Trump Personally Approved Gabbard’s Epstein Distraction","Aug 06, 2025 10:11 PM",25-34,"News, Politics, People & Society, Business & Finance, Arts & Entertainment","Politics, Scandal, Media, Trump",Male,us,"Trump, Gabbard, Epstein",Anger,"Tulsi Gabbard, Donald Trump",87
"Residents ""nervous"" as wildfire comes close to town of Meeker","Aug 07, 2025 05:17 AM",25-34,"News, People & Society, Health & Fitness, Hobbies & Leisure, Travel","Wildfire, Emergency, Community, Colorado",Male,us,"Lee Fire, Meeker, Colorado, Elk Fire",Fear,"Joshua Quinn, Sue Sprod, Stanton Gould, Jared Polis",90
"Man sentenced for charges stemming to Feeding Our Future scheme","Aug 07, 2025 01:48 AM",25-34,"News, Business & Industrial, Law & Government, People & Society, Finance","Fraud, Court Case, Feeding Our Future, Bribery",Male,us,"Feeding Our Future, Fraud Scheme, U.S. Attorney, Court Documents",Anger,"Abdiaziz Farah, Joseph H. Thompson, Said Shafii Farah, Abdulkarim Shafii Farah, Abdimajid Mohamed Nur, Ladan Mohamed Ali",92
"Texas Democrat apologizes for comparing redistricting to the Holocaust","Aug 06, 2025 10:57 PM",35-44,"News, Politics, People & Society, Business & Industrial, Law & Government","Redistricting, Apology, Political Commentary, Texas",Female,us,"Texas Democrats, Redistricting Proposal, The Don Lemon Show",Anticipation,"Jolanda Jones, Greg Abbott, Andrew Mahaleris, John Cornyn",94
"Suspect in deadly fight at Folsom bar arrested for manslaughter, police say","Aug 06, 2025 10:04 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Sports","Crime, Arrest, Manslaughter, Folsom",Male,us,"Folsom Police Department, Sacramento County Jail, Folsom State Slickers",Anger,"Dylan Pierce, Brandon Downs",96
"Trump Makes JD Vance Awkwardly Deny Secret Epstein Crisis Talks","Aug 07, 2025 02:12 AM",25-34,"News, Politics, People & Society, Business & Industrial, Entertainment","Politics, Scandal, Interview",Male,us,"Donald Trump, J.D. Vance, Epstein",Anticipation,"Donald Trump, J.D. Vance",105
"Hackers Clown Trump Education Secretary With ‘Curb Your Enthusiasm’ Music and ‘Corrupt Billionaire’ Heckles","Aug 07, 2025 02:14 PM",25-34,"Arts & Entertainment, Business & Industrial, News, People & Society, Politics","Politics, Education, Humor, Technology",Male,us,"Hackers, Trump, Education Secretary",Happiness,"Larry David, Betsy DeVos",106
"2 people killed in shooting at Long Beach homeless encampment","Aug 07, 2025 09:40 AM",25-34,"News, People & Society, Health & Fitness, Law & Government, Sports","Crime, Breaking News",Male,us,"Long Beach, California Highway Patrol, homeless encampment",Fear,"Matthew Rodriguez",107
"Security changes made for Minnesota Capitol building","Aug 07, 2025 01:48 AM",25-34,"Law & Government, News, People & Society, Business & Industrial, Health & Fitness","Security, Public Safety, Government, Minnesota",Male,us,"Minnesota Capitol, Department of Public Safety, State Patrol",Anticipation,"Bob Jacobsen, Jeremy Geiger, Sergio Comcepcion, Steven Bloomfield, Caroline Cummings",107
"Displaced tenants sue North Texas apartments over fire, demand accountability","Aug 07, 2025 03:31 AM",25-34,"News, People & Society, Law & Government, Business & Industrial, Health & Fitness","Lawsuit, Fire, Accountability, Tenant Rights",Female,us,"The Cooper Apartments, Lawsuit, Fire, Negligence",Anger,"Amy Ngo, Alexandrea Carrera, Matthew Plant, Zaire Harris, Katie Steele, Sam Russell, Ernesto Almazan",108
"Rash of car thefts under investigation in Arlington Heights","Aug 06, 2025 08:55 PM",25-34,"Autos & Vehicles, News, People & Society, Law & Government, Crime","Car Theft, Arlington Heights, Police Investigation",Male,us,"Arlington Heights, Hyundai, Police",Fear,"Sara Tenenbaum",108
"Texas soldier, 22, arrested after allegedly passing sensitive US battle tank info to Russia: feds","Aug 07, 2025 06:58 AM",18-24,"News, Law & Government, People & Society, Business & Industrial, Science","Military, Espionage, Arrest, National Security",Male,us,"US Army, Russian Ministry of Defense, M1A2 Abrams tank",Fear,"Taylor Adam Lee, Sean F. Stinchon",111
"Maniac stabs stranger in NYC subway station &#8212; and attacker is still on the loose: sources","Aug 06, 2025 10:57 PM",25-34,"News, People & Society, Health & Fitness, Law & Government, Crime","Crime, NYC, Subway, Attack",Female,us,"NYC Subway, Police, Victim",Fear,N/A,111
"Arrest made in hit-and-run crash that left woman dead in Hollywood","Aug 07, 2025 01:38 AM",25-34,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, Sports","Crime, Hit-and-Run, Arrest, Los Angeles",Female,us,"Los Angeles, Mercedes-Benz G Wagon, LGBTQ Center",Sadness,"Erika Edwards, Davontay Robins, Yasmine Mzayek, Kris Edwards",112
"Republicans Freak Over MAGA Star’s Alleged Nude Leak Threats","Aug 07, 2025 02:14 PM",18-24,"Arts & Entertainment, News, Politics, People & Society, Sports","NSFW, Politics, Celebrity, Scandal",Male,us,"MAGA Star, Nude Leak, Republicans",Anticipation,"Donald Trump, Marjorie Taylor Greene",113
"Florida congressman accused of revenge porn threat after breakup","Aug 07, 2025 01:43 PM",25-34,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, People & Society","Politics, Scandal, Allegations, Revenge Porn",Female,us,"Florida Department of Law Enforcement, Columbia County Sheriff's Office, New Smyrna Beach",Anger,"Cory Mills, Anthony Sabatini",115
"Parts of the Constitution Abruptly Disappear From Government Website","Aug 06, 2025 10:11 PM",25-34,"Law & Government, News, People & Society, Business & Industrial, Politics","Constitution, Government, Law, Politics",Male,us,"Constitution, Government, Law",Surprise,"James Madison, Thomas Jefferson",115
"North Texas lawmaker backs Gov. Greg Abbott's push to oust Democratic ""ringleader""","Aug 07, 2025 03:31 AM",25-34,"News, Law & Government, Politics, Business & Industrial, People & Society","Politics, Redistricting, Texas, Governor Abbott",Male,us,"Texas, Redistricting, Gene Wu, Greg Abbott",Anticipation,"Katrina Pierson, Gene Wu, Greg Abbott, Dustin Burrows",116
